trust_code,trust_name,mrc_off_201718,mrc_off_201819,mrc_off_201920,mrc_off_202021,mrc_off_202122,mrc_off_202223,mrc_off_202324,mrc_on_201718,mrc_on_201819,mrc_on_201920,mrc_on_202021,mrc_on_202122,mrc_on_202223,mrc_on_202324,mrc_service_provision_201718,mrc_service_provision_201819,mrc_service_provision_201920,mrc_service_provision_202021,mrc_service_provision_202122,mrc_service_provision_202223,mrc_service_provision_202324,mrc_type_201718,mrc_type_201819,mrc_type_201920,mrc_type_202021,mrc_type_202122,mrc_type_202223,mrc_type_202324,mrc_total_201718,mrc_total_201819,mrc_total_201920,mrc_total_202021,mrc_total_202122,mrc_total_202223,mrc_total_202324,current_name_in_foi,trust_type_from_foi,trust_epr,in_foi_data,all_admissions_22,emergency_admissions_22,mrc_total_202324_perpatient
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,33639.0,38495.0,0.0,50864.0,89173.0,58406.0,57883.0,2307369.0,2031852.0,2357219.0,2271983.0,2420651.0,2314393.0,2697735.0,Internal,Internal,Other,Internal,Internal,Internal,Hybrid,Paper,3. Mixed,1. Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2341008.0,2070347.0,2357219.0,2322847.0,2509824.0,2372799.0,2755618.0,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,Acute,No EPR -  in process of getting one,True,431065.0,431065.0,6.39
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,47722.0,45771.0,42182.0,47174.0,50957.0,48906.0,72134.0,0.0,632460.0,599629.0,658535.0,613977.0,737996.0,810265.0,Internal,Hybrid,Hybrid,Hybrid,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,47722.0,678231.0,641811.0,705709.0,664934.0,786902.0,882399.0,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Acute,Fortrus Ltd,True,206544.0,196205.0,4.27
RDY,"DORSET HEALTHCARE NHS FOUNDATION TRUST, DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST",66533.0,70899.0,85203.0,73514.0,77138.0,89619.0,381388.0,120451.0,257000.0,238411.0,45337.0,239896.0,0.0,0.0,Internal,Internal,Internal,Internal,Hybrid,Hybrid,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,186984.0,327899.0,323614.0,118851.0,317034.0,89619.0,381388.0,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Mental Health and Community (Combined),The Access Group,True,,,
RYK,DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,79352.0,69117.0,70517.0,0.0,0.0,0.0,0.0,111532.0,197336.0,112273.0,0.0,0.0,0.0,0.0,Internal,Internal,Hybrid,,,,,Mixed,3. Mixed,3. Mixed,,,,,190884.0,266453.0,182790.0,0.0,0.0,0.0,0.0,,,,False,,,
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,116037.0,160000.0,172951.0,186746.0,196507.0,217039.0,259420.0,682642.0,822782.0,2732174.0,2866960.0,3191918.0,3405162.0,3380886.0,Internal,Internal,Internal,Hybrid,Hybrid,Hybrid,Hybrid,Paper,1. Paper,1. Paper,1. Paper,1. Paper,1. Paper,1. Paper,798679.0,982782.0,2905125.0,3053706.0,3388425.0,3622201.0,3640306.0,EAST AND NORTH HERTFORDSHIRE NHS TRUST,Acute,Dedalus Healthcare Ltd,True,440583.0,423592.0,8.26
RJN,EAST CHESHIRE NHS TRUST,0.0,21942.0,23835.0,22956.0,21777.0,23177.0,23177.0,592000.0,584787.0,635317.0,659192.0,717280.0,732917.0,732917.0,Internal,Hybrid,Hybrid,Internal,Internal,Hybrid,Hybrid,Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,592000.0,606729.0,659152.0,682148.0,739057.0,756094.0,756094.0,EAST CHESHIRE NHS TRUST,Acute,No EPR -  in process of getting one,True,163656.0,169324.0,4.62
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,346617.0,590442.0,502796.0,564579.0,676641.0,759872.0,757170.0,2008393.0,2342603.0,2782363.0,2947746.0,3726490.0,3026757.0,3100042.0,Internal,Internal,Internal,Internal,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2355010.0,2933045.0,3285159.0,3512325.0,4403131.0,3786629.0,3857212.0,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,Acute,Altera Digital Health,True,707039.0,707039.0,5.46
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,460128.0,546890.0,503708.0,571073.0,379779.0,542322.0,543780.0,1878300.0,1874925.0,1859480.0,2089804.0,2053915.0,2160548.0,2160422.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2338428.0,2421815.0,2363188.0,2660877.0,2433694.0,2702870.0,2704202.0,EAST LANCASHIRE HOSPITALS NHS TRUST,Acute,Oracle Cerner Corporation,True,517185.0,510419.0,5.23
RWK,EAST LONDON NHS FOUNDATION TRUST,63588.0,63792.0,59945.0,62398.0,92561.0,126805.0,98676.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybrid,Extenal,Extenal,External,External,External,Hybrid,Mixed,3. Mixed,2. Electronic,1. Paper,1. Paper,3. Mixed,3. Mixed,98588.0,63792.0,59945.0,62398.0,92561.0,126805.0,98676.0,EAST LONDON NHS FOUNDATION TRUST,Mental Health and Community (Combined),The Access Group,True,,,
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Data Provided,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Data Provided,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,Ambulance,Medusa Medical Technologies Inc,True,,,
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Data Provided,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Data Provided,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,Ambulance,Medusa Medical Technologies Inc,True,,,
RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST, COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",64894.0,150501.0,183918.0,185307.0,139494.0,145825.0,92495.0,67039.0,2222158.0,1980768.0,1935965.0,1888351.0,1761775.0,1525639.0,Internal,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,131933.0,2372659.0,2164686.0,2121272.0,2027845.0,1907600.0,1618134.0,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Acute,System C Healthcare Ltd,True,762628.0,775826.0,2.12
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,961980.0,770423.0,873351.0,792189.0,806879.0,1163076.0,951526.0,1683879.0,1349751.0,1885165.0,1891008.0,2043228.0,1263211.0,1272265.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2645859.0,2120174.0,2758516.0,2683197.0,2850107.0,2426287.0,2223791.0,EAST SUSSEX HEALTHCARE NHS TRUST,Acute,Generic or In House EPR Provider,True,390370.0,390370.0,5.7
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,241288.0,307115.0,296580.0,283002.0,253051.0,233220.0,268484.0,1839239.0,1963170.0,2147454.0,1980527.0,1933080.0,1897521.0,1777615.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2080527.0,2270285.0,2444034.0,2263529.0,2186131.0,2130741.0,2046099.0,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,Acute,Oracle Cerner Corporation,True,430234.0,427252.0,4.76
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,509989.0,301580.0,308627.0,203765.0,178155.0,207525.0,375577.0,875283.0,377500.0,378825.0,8800.0,8800.0,17040.0,17040.0,Hybrid,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1385272.0,679080.0,687452.0,212565.0,186955.0,224565.0,392617.0,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Mental Health and Community (Combined),TPP,True,,,
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,780414.0,423867.0,272512.0,225592.0,229326.0,211387.0,151216.0,2925333.0,2931724.0,2244320.0,1935623.0,2026630.0,739780.0,211197.0,Internal,Internal,Hybrid,Hybrid,Hybrid,Hybrid,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3705747.0,3355591.0,2516832.0,2161215.0,2255956.0,951167.0,362413.0,FRIMLEY HEALTH NHS FOUNDATION TRUST,Acute,Epic Systems Corporation,True,823982.0,876695.0,0.44
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,38545.0,80502.0,125174.0,70453.0,59410.0,72218.0,38234.0,304682.0,326281.0,318250.0,449870.0,554195.0,560645.0,735086.0,Internal,Internal,Internal,Hybrid,Internal,Internal,Internal,Paper,1. Paper,3. Mixed,1. Paper,1. Paper,3. Mixed,3. Mixed,343227.0,406783.0,443424.0,520323.0,613605.0,632863.0,773320.0,GATESHEAD HEALTH NHS FOUNDATION TRUST,Acute,System C Healthcare Ltd,True,207732.0,232579.0,3.72
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1317019.0,1537290.0,1564673.0,1401160.0,1369809.0,1306609.0,1502104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1. Paper,3. Mixed,1317019.0,1537290.0,1564673.0,1401160.0,1369809.0,1306609.0,1502104.0,GEORGE ELIOT HOSPITAL NHS TRUST,Acute,Dedalus Healthcare Ltd,True,177636.0,179728.0,8.46
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,644827.0,671496.0,0.0,0.0,0.0,0.0,0.0,Hybrid,Hybrid,,,,,,Mixed,3. Mixed,,,,,,694827.0,721496.0,0.0,0.0,0.0,0.0,0.0,,,,False,,,
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,135857.0,176144.0,217872.0,262931.0,250470.0,271258.0,218528.0,752672.0,692334.0,828502.0,858825.0,950471.0,1029360.0,1088833.0,Hybrid,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,888529.0,868478.0,1046374.0,1121756.0,1200941.0,1300618.0,1307361.0,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,Acute,Altera Digital Health,True,639307.0,632621.0,2.04
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,0.0,1158.0,41958.0,12350.0,42846.0,0.0,0.0,38543.0,1205485.0,729754.0,581111.0,557849.0,1106804.0,1100992.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,38543.0,1206643.0,771712.0,593461.0,600695.0,1106804.0,1100992.0,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Acute,Epic Systems Corporation,True,,,
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,253958.0,212265.0,242016.0,220639.0,191654.0,191654.0,311000.0,1096846.0,957695.0,889030.0,919433.0,766616.0,766616.0,662000.0,Internal,Internal,Internal,Internal,External,External,External,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1350804.0,1169960.0,1131046.0,1140072.0,958270.0,958270.0,973000.0,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,Acute,System C Healthcare Ltd,True,393220.0,399906.0,2.47
RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,120000.0,120000.0,120000.0,123744.0,129148.0,131985.0,160649.0,54632.0,54677.0,54677.0,50933.0,50933.0,0.0,0.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,174632.0,174677.0,174677.0,174677.0,180081.0,131985.0,160649.0,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,Mental Health,Civica UK Limited,True,,,
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,116920.0,145150.0,131630.0,242179.0,440224.0,108474.0,403197.0,2166678.0,2172488.0,2346484.0,1965267.0,1933710.0,1765171.0,2340549.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2283598.0,2317638.0,2478114.0,2207446.0,2373934.0,1873645.0,2743746.0,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,Acute,Epic Systems Corporation,True,402466.0,374097.0,6.82
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,97000.0,95172.0,107194.0,165338.0,123371.0,301777.0,816063.0,2080481.0,1948140.0,2091709.0,2048877.0,2286867.0,3024473.0,2004017.0,Internal,Internal,Internal,Internal,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2177481.0,2043312.0,2198903.0,2214215.0,2410238.0,3326250.0,2820080.0,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,Acute,Generic or In House EPR Provider,True,502995.0,522435.0,5.61
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,103349.0,100139.0,102834.0,136071.0,99178.0,121345.0,192892.0,1565831.0,285234.0,323739.0,319679.0,310351.0,339427.0,257690.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1669180.0,385373.0,426573.0,455750.0,409529.0,460772.0,450582.0,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Acute,Generic or In House EPR Provider,True,189910.0,189910.0,2.37
RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,520358.0,0.0,0.0,0.0,0.0,0.0,0.0,2156926.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybrid,,,,,,,Mixed,,,,,,,2677284.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,,,
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,31925.0,54550.0,20748.0,20645.0,20645.0,41943.0,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,External,External,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1. Paper,3. Mixed,31925.0,54550.0,20748.0,20645.0,20645.0,41943.0,41000.0,HERTFORDSHIRE COMMUNITY NHS TRUST,Community,TPP,True,,,
RWR,"HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST, HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",39679.0,51000.0,0.0,0.0,70260.0,70260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybrid,Hybrid,Hybrid,External,Hybrid,Other,External,Mixed,3. Mixed,3. Mixed,2. Electronic,3. Mixed,1. Paper,3. Mixed,39679.0,51000.0,0.0,0.0,70260.0,70260.0,0.0,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Mental Health,Civica UK Limited,True,,,
RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST, HOMERTON HEALTHCARE NHS FOUNDATION TRUST",137345.0,210610.0,181222.0,295583.0,295583.0,344932.0,401099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,137345.0,210610.0,181222.0,295583.0,295583.0,344932.0,401099.0,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,Acute,Oracle Cerner Corporation,True,298111.0,281202.0,1.35
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,17222.0,18171.0,22900.0,23814.0,0.0,22852.0,21370.0,37696.0,38827.0,39409.0,39409.0,40198.0,43695.0,47496.0,Internal,Hybrid,Hybrid,Hybrid,Hybrid,Internal,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,54918.0,56998.0,62309.0,63223.0,40198.0,66547.0,68866.0,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,Community,TPP,True,,,
RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST, HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",68846.0,91209.0,88868.0,118600.0,183330.0,145070.0,141463.0,1991457.0,1993597.0,2059353.0,2139592.0,2555774.0,1754383.0,1751670.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2060303.0,2084806.0,2148221.0,2258192.0,2739104.0,1899453.0,1893133.0,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,Acute,Dedalus Healthcare Ltd,True,489303.0,466881.0,3.87
RV9,"HUMBER TEACHING NHS FOUNDATION TRUST, HUMBER NHS FOUNDATION TRUST",97537.0,107155.0,86396.0,78544.0,78544.0,90937.0,110658.0,72357.0,97189.0,115477.0,132193.0,132193.0,139192.0,125029.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,169894.0,204344.0,201873.0,210737.0,210737.0,230129.0,235687.0,HUMBER TEACHING NHS FOUNDATION TRUST,Mental Health and Community (Combined),Dedalus Healthcare Ltd,True,,,
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,409000.0,409000.0,927376.0,704784.0,696568.0,745205.0,745205.0,3472000.0,2950000.0,2071886.0,2243474.0,1982038.0,1761434.0,925434.0,Hybrid,Hybrid,Hybrid,Internal,Internal,Hybrid,Hybrid,Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3881000.0,3359000.0,2999262.0,2948258.0,2678606.0,2506639.0,1670639.0,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,Acute,Oracle Cerner Corporation,True,608712.0,520115.0,2.74
RGQ,IPSWICH HOSPITAL NHS TRUST,84521.0,0.0,0.0,0.0,0.0,0.0,0.0,851261.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybrid,,,,,,,Mixed,,,,,,,935782.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,,,
R1F,ISLE OF WIGHT NHS TRUST,0.0,20000.0,0.0,199070.0,204968.0,227514.0,1398640.0,832889.0,864334.0,954718.0,145841.0,135173.0,123683.0,123683.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,832889.0,884334.0,954718.0,344911.0,340141.0,351197.0,1522323.0,ISLE OF WIGHT NHS TRUST,Acute,CGI UK Ltd,True,142296.0,142296.0,10.7
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918314.0,913642.0,1008965.0,999244.0,1011093.0,1184534.0,1147056.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,918314.0,913642.0,1008965.0,999244.0,1011093.0,1184534.0,1147056.0,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Acute,No EPR -  in process of getting one,True,223680.0,229771.0,5.13
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,124000.0,163716.0,169360.0,119365.0,116837.0,131156.0,137071.0,0.0,793398.0,603269.0,604650.0,105970.0,125527.0,129846.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,124000.0,957114.0,772629.0,724015.0,222807.0,256683.0,266917.0,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,Mental Health and Community (Combined),The Access Group,True,,,
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,125000.0,130000.0,146281.0,107807.0,89364.0,79826.0,85212.0,428269.0,21261.0,141498.0,152232.0,0.0,0.0,0.0,Hybrid,Hybrid,Hybrid,Hybrid,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,553269.0,151261.0,287779.0,260039.0,89364.0,79826.0,85212.0,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,Community,The Access Group,True,,,
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1107182.0,1380713.0,1560510.0,1517103.0,1537190.0,1113657.0,537.0,0.0,0.0,0.0,0.0,0.0,492.0,935270.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1107182.0,1380713.0,1560510.0,1517103.0,1537190.0,1114149.0,935807.0,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,Acute,System C Healthcare Ltd,True,340018.0,347775.0,2.75
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,834463.0,1042149.0,1312763.0,1523952.0,1600753.0,1418363.0,1662168.0,2041863.0,4239972.0,3108563.0,3205508.0,3465205.0,3249188.0,2929104.0,Hybrid,Internal,Internal,Internal,Internal,Internal,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2876326.0,5282121.0,4421326.0,4729460.0,5065958.0,4667551.0,4591272.0,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,Acute,Epic Systems Corporation,True,636755.0,627420.0,7.21
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,195030.0,210692.0,204688.0,209860.0,210716.0,215330.0,206922.0,1622879.0,1792128.0,1949900.0,1858388.0,2041345.0,2841938.0,2416221.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1817909.0,2002820.0,2154588.0,2068248.0,2252061.0,3057268.0,2623143.0,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Acute,Oracle Cerner Corporation,True,429538.0,428495.0,6.11
RW5,"LANCASHIRE CARE NHS FOUNDATION TRUST, LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST",0.0,0.0,0.0,0.0,0.0,0.0,0.0,777466.0,796000.0,706318.0,725070.0,736521.0,684000.0,698562.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1. Paper,777466.0,796000.0,706318.0,725070.0,736521.0,684000.0,698562.0,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,Mental Health and Community (Combined),The Access Group,True,,,
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,15000.0,19396.0,25671.0,20530.0,499287.0,24629.0,22806.0,580438.0,638021.0,597726.0,604986.0,689919.0,2092587.0,2297300.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,1. Paper,1. Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,595438.0,657417.0,623397.0,625516.0,1189206.0,2117216.0,2320106.0,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,Acute,QuadraMed,True,386021.0,386021.0,6.01
RGD,"LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST, LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST",72188.0,82890.0,55670.0,73010.0,75103.0,88119.0,100064.0,383890.0,369117.0,369810.0,293324.0,321308.0,347950.0,380280.0,Internal,Internal,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,1. Paper,1. Paper,1. Paper,456078.0,452007.0,425480.0,366334.0,396411.0,436069.0,480344.0,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,Mental Health,Advanced Health and Care Limited,True,,,
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,80005.0,96288.0,89628.0,95306.0,99159.0,124773.0,0.0,352106.0,0.0,0.0,0.0,0.0,0.0,101542.0,Hybrid,Extenal,Internal,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,1. Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,432111.0,96288.0,89628.0,95306.0,99159.0,124773.0,101542.0,LEEDS COMMUNITY HEALTHCARE NHS TRUST,Community,TPP,True,,,
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,257000.0,300000.0,384670.0,354281.0,323000.0,300689.0,302315.0,1864356.0,2693000.0,2364027.0,2003281.0,2079494.0,2216738.0,2124395.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2121356.0,2993000.0,2748697.0,2357562.0,2402494.0,2517427.0,2426710.0,LEEDS TEACHING HOSPITALS NHS TRUST,Acute,Generic or In House EPR Provider,True,756674.0,746553.0,3.21
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,383469.0,360000.0,360000.0,360000.0,390000.0,390000.0,390000.0,203842.0,0.0,0.0,0.0,0.0,0.0,0.0,Internal,Hybrid,Hybrid,Hybrid,External,External,External,Paper,2. Electronic,2. Electronic,2. Electronic,3. Mixed,3. Mixed,3. Mixed,587311.0,360000.0,360000.0,360000.0,390000.0,390000.0,390000.0,LEICESTERSHIRE PARTNERSHIP NHS TRUST,Mental Health and Community (Combined),TPP,True,,,
